Date	Price	Open	High	Low	Vol	Change 	Nothing
2016/07/16	661	664	665	656	2039000	-0.53	0
2016/07/15	664	657	668	657	3583000	1.06	0
2016/07/14	657	661	662	646	4820000	-0.59	0
2016/07/13	661	671	672	656	6296000	-1.40	0
2016/07/12	671	647	673	645	6659000	3.69	0
2016/07/11	647	647	658	640	4594000	-0.06	0
2016/07/10	647	652	652	637	2926000	-0.72	0
2016/07/09	652	663	664	621	9601000	-1.65	0
2016/07/08	663	635	663	630	7589000	4.33	0
2016/07/07	635	673	676	605	15361000	-5.57	0
2016/07/06	673	664	678	662	4705000	1.36	0
2016/07/05	664	675	679	657	5464000	-1.70	0
2016/07/04	675	662	679	644	6391000	2.04	0
2016/07/03	662	698	702	645	9927000	-5.22	0
2016/07/02	698	675	701	672	6738000	3.48	0
2016/07/01	675	670	685	661	9223000	0.68	0
2016/06/30	670	637	673	631	8820000	5.26	0
2016/06/29	637	645	646	622	8022000	-1.29	0
2016/06/28	645	645	659	634	7666000	0.04	0
2016/06/27	645	625	650	615	9981000	3.08	0
2016/06/26	625	664	665	610	8893000	-5.74	0
2016/06/25	664	657	688	641	10046000	1.01	0
2016/06/24	657	621	687	616	19669000	5.81	0
2016/06/23	621	591	630	539	26174000	5.13	0
2016/06/22	591	667	678	587	20232000	-11.51	0
2016/06/21	667	734	732	626	24808000	-9.07	0
2016/06/20	734	761	765	717	11229000	-3.56	0
2016/06/19	761	754	765	740	6045000	0.96	0
2016/06/18	754	744	776	727	12053000	1.33	0
2016/06/17	744	761	772	704	21587000	-2.27	0
2016/06/16	761	691	770	687	22957000	10.20	0
2016/06/15	691	685	695	671	7862000	0.82	0
2016/06/14	685	700	703	655	13565000	-2.13	0
2016/06/13	700	667	718	653	21673000	5.03	0
2016/06/12	667	592	684	593	21738000	12.67	0
2016/06/11	592	578	593	576	4222000	2.37	0
2016/06/10	578	575	579	571	4550000	0.56	0
2016/06/09	575	581	581	569	4861000	-1.00	0
2016/06/08	581	576	582	568	4960000	0.86	0
2016/06/07	576	584	591	544	8469000	-1.37	0
2016/06/06	584	575	587	572	6368000	1.51	0
2016/06/05	575	572	584	568	6452000	0.52	0
2016/06/04	572	567	593	561	8741000	0.87	0
2016/06/03	567	537	574	534	10625000	5.57	0
2016/06/02	537	537	542	531	5288000	-0.06	0
2016/06/01	537	529	542	521	7241000	1.60	0
2016/05/31	529	532	547	513	11408000	-0.63	0
2016/05/30	532	516	544	513	7753000	3.14	0
2016/05/29	516	524	548	493	15257000	-1.56	0
2016/05/28	524	474	532	467	15017000	10.58	0
2016/05/27	474	453	479	453	13568000	4.58	0
2016/05/26	453	450	454	448	3772000	0.78	0
2016/05/25	450	446	451	445	3772000	0.82	0
2016/05/24	446	444	448	442	3322000	0.55	0
2016/05/23	444	440	445	438	3590000	0.93	0
2016/05/22	440	444	444	437	2874000	-0.91	0
2016/05/21	444	442	445	440	2300000	0.35	0
2016/05/20	442	443	448	435	4843000	-0.12	0
2016/05/19	443	454	455	441	5939000	-2.55	0
2016/05/18	454	453	457	452	3261000	0.21	0
2016/05/17	453	455	456	452	3463000	-0.36	0
2016/05/16	455	458	460	451	3660000	-0.71	0
2016/05/15	458	456	460	455	2120000	0.37	0
2016/05/14	456	455	458	454	2036000	0.23	0
2016/05/13	455	454	457	452	3239000	0.22	0
2016/05/12	454	453	455	448	4919000	0.43	0
2016/05/11	453	449	456	450	3997000	0.70	0
2016/05/10	449	460	462	447	5999000	-2.41	0
2016/05/09	460	458	464	455	4842000	0.56	0
2016/05/08	458	459	460	455	2760000	-0.13	0
2016/05/07	459	460	461	455	3097000	-0.24	0
2016/05/06	460	448	462	446	6843000	2.56	0
2016/05/05	448	446	449	444	4189000	0.51	0
